NomeDoMunicipio, SituacaoUrbana, SituacaoRural, DensidadeMoradorPorComodo[0.0-0.5], DensidadeMoradorPorComodo[0.5-1.0], DensidadeMoradorPorComodo[1.0-2.0], DensidadeMoradorPorComodo[2.0-+], DensidadeMoradorPorDormitorio[1], DensidadeMoradorPorDormitorio[1-2], DensidadeMoradorPorDormitorio[2-3], DensidadeMoradorPorDormitorio[3+], MoradiaAdequada, MoradiaSemiAdequada, MoradiaInadequada
Ipeúna,1555,221,874,720,166,17,609,765,280,122,1154,588,34
Ipiguá,874,568,757,612,74,0,550,732,127,32,841,591,10
Iporanga,702,536,571,468,188,11,482,463,201,93,528,640,70
Ipuã,4205,168,2227,1897,245,5,1447,2297,462,168,3561,785,27
Iracemápolis,5840,108,2925,2601,386,37,1829,3196,655,268,4939,1009,0
Irapuã,2007,239,1184,891,156,16,915,975,231,126,1645,592,9
Irapuru,1903,318,1395,744,75,6,1061,975,141,45,1621,593,8
Itaberá,3749,1768,2646,2450,378,43,2112,2545,657,203,2948,2440,130
Itaí,5996,1156,3273,3433,434,12,2481,3582,885,203,4808,2234,110
Itajobi,4121,736,3080,1647,130,0,2099,2402,287,70,3745,1092,20
Itaju,706,268,518,384,70,1,408,462,76,29,641,333,0
Itanhaém,27962,266,14264,10617,2991,355,10056,11500,4027,2644,17291,10819,118
Itaóca,554,437,494,402,82,13,369,452,126,45,293,674,24
ItapecericadaSerra,42342,403,13606,21771,6730,638,9198,19818,8770,4959,14102,28501,142
Itapetininga,39171,3087,19283,18897,3771,306,13730,20087,6123,2318,30238,11935,85
Itapeva,22587,4017,12001,11748,2633,223,8825,12596,3636,1548,17528,8743,333
Itapevi,57598,0,16465,29631,10373,1129,11769,25913,12125,7791,31076,26457,65
Itapira,19747,1442,11631,8530,905,123,8540,10480,1698,471,17339,3851,0
ItapirapuãPaulista,565,594,517,523,106,14,475,467,133,84,389,749,21
Itápolis,12010,1182,7917,4810,447,18,5552,6276,1069,295,10643,2482,67
Itaporanga,3606,1138,2562,1837,328,18,2129,2016,462,138,3021,1648,75
Itapuí,3568,140,1800,1624,261,24,1188,1811,494,215,2692,1016,0
Itapura,1086,252,733,541,64,0,516,630,156,36,342,982,14
Itaquaquecetuba,89680,0,23811,46241,17871,1757,16926,39254,19843,13657,45529,43955,196
Itararé,13982,1180,7193,6696,1209,64,5661,6897,1990,614,10731,4354,76
Itariri,2977,1619,1716,2059,721,100,1317,1930,827,523,1827,2612,157
Itatiba,26392,4732,14917,13398,2650,158,10730,15230,3754,1409,22279,8843,2
Itatinga,4742,487,2076,2613,494,47,1506,2627,771,325,3661,1525,43
Itirapina,3552,458,1933,1766,307,4,1398,1972,430,210,2704,1292,14
Itirapuã,1425,288,828,728,153,5,633,821,177,82,1203,490,19
Itobi,2068,220,988,1116,178,7,764,1130,289,105,1674,600,14
Itu,43615,2862,21285,20191,4651,349,15474,21833,6488,2682,34796,11579,102
Itupeva,11624,1676,4958,6626,1645,71,3466,6385,2394,1055,7466,5834,0
Ituverava,11869,727,7541,4728,306,21,5375,6175,888,158,11186,1379,31
Jaborandi,1894,132,968,899,160,0,809,932,217,68,1530,496,0
Jaboticabal,22055,606,13159,8118,1224,160,8863,11032,2034,731,19208,3431,21
Jacareí,63315,900,29061,29121,5621,413,20762,31518,8161,3773,49427,14748,39
Jaci,1529,224,885,808,60,0,625,931,153,44,1327,415,11
Jacupiranga,3017,2284,2518,2168,538,78,1959,2326,635,382,2957,2185,159
Jaguariúna,13170,369,6581,5923,1022,14,4593,6712,1610,625,10322,3214,4
Jales,15341,937,10403,5565,279,31,7336,8097,677,167,14401,1856,21
Jambeiro,792,856,804,714,127,2,564,818,213,54,851,783,14
Jandira,32527,0,11084,16109,4990,345,7368,15190,6290,3679,20476,12051,0
Jardinópolis,10665,465,5558,4656,834,82,3600,5667,1350,513,8753,2331,45
Jarinu,5511,1586,2917,3401,745,34,2149,3446,955,547,1656,5408,33
Jaú,39801,1119,21790,16393,2640,97,15334,20024,4067,1494,34415,6453,52
Jeriquara,800,170,492,410,64,4,357,483,104,26,710,260,0
Joanópolis,3891,0,2007,1660,214,10,1686,1651,395,159,2310,1576,5
JoãoRamalho,1103,180,669,538,76,0,361,737,144,41,919,349,15
JoséBonifácio,9355,970,5669,4320,336,0,3067,6129,904,225,8114,2161,49
JúlioMesquita,1309,64,682,577,109,5,505,656,147,65,1057,314,2
Jumirim,509,346,395,397,63,1,276,452,99,29,447,406,2
Jundiaí,113593,4672,61047,48210,8589,419,41934,58909,12345,5076,94597,23651,18
Junqueirópolis,5125,663,3435,2160,189,4,2140,3116,421,111,4625,1133,31
Juquiá,3744,2200,2823,2424,613,84,2126,2626,740,451,2615,3116,213
Juquitiba,6698,2048,3664,4026,930,126,2608,4062,1330,746,2310,6236,201
Lagoinha,1083,612,1063,584,41,7,667,818,165,45,866,822,7
LaranjalPaulista,7080,860,3994,3350,576,20,2994,3899,816,231,5778,2162,0
Lavínia,1491,274,1184,540,41,0,827,810,112,15,1345,405,15
Lavrinhas,1709,146,746,892,210,7,525,877,311,141,1077,769,8
Leme,27355,565,12934,12171,2656,159,9180,13691,3588,1460,22194,5683,43
LençóisPaulista,17723,439,9232,7755,1163,11,6300,9466,1958,438,15258,2896,8
Limeira,81839,2575,41541,36622,5794,457,28953,42328,9391,3742,68054,16300,59
Lindóia,2212,0,1152,963,93,3,821,1132,203,55,1500,709,3
Lins,22591,262,13553,8328,897,74,9478,10850,2016,509,19852,2996,5
Lorena,24408,664,12409,10737,1819,106,8896,11749,3215,1213,19682,5365,25
Lourdes,595,118,400,292,21,0,283,375,50,5,529,178,5
Louveira,10655,385,3958,5513,1490,79,2355,6062,1765,859,7304,3727,10
Lucélia,5590,423,3410,2312,288,4,2201,3172,500,139,4995,1008,10
